순번,회사명,생산품,업종명,대표주소,전화번호,팩스번호,데이터기준일자,실측점검,품질점검
1907,국도프라스틱(주),"금속자재,각종부품류",자동차용 금속 압형제품 제조업 외 3 종,"인천광역시 서구 검단천로 354, 검단일반산업단지내 24-4 (오류동)",032-563-7865,032-563-7881,2021-06-30,,
1908,국밥대장,육회 비빔소스,기타 식품 첨가물 제조업,"인천광역시 서구 보듬로 158, 4층 검단지식산업센터 블루텍 432호 (오류동) 외 1필지",,050-4436-54168,2021-06-30,,
1909,국일도어테크 주식회사,"방화문,단열문,결로방지문,기밀문,고효율기자재","금속 문, 창, 셔터 및 관련제품 제조업",,032-209-8411,032-209-8414,2021-06-30,,
1910,국일지기,임대업,비주거용 건물 임대업,인천광역시 서구 백범로 611 (가좌동),,,2021-06-30,,
1911,국일초음파,초음파장이 제조 및 전기음향설비 제조,기타 음향기기 제조업,인천광역시 서구 오류동 0 번지 검단일반산업단지 18-1,032-564-9191,032-564-9874,2021-06-30,,
1912,국제그레이팅,스틸그레이팅,구조용 금속 판제품 및 공작물 제조업,"인천광역시 서구 원전로59번길 6 (경서동) 도림주철관공업(주) 101호 (경서동,제1공장)",032-208-0030,032-208-0050,2021-06-30,,
1913,국제산업냉동기,차량용냉동기,산업용 냉장 및 냉동 장비 제조업,인천광역시 서구 설원로138번길 71-1 (대곡동),032-568-6054,032-568-6056,2021-06-30,,
1914,국제유지화학공업사,신선유,그 외 기타 분류 안된 화학제품 제조업,인천광역시 서구 마중1로 13 (오류동),032-564-1731,032-563-8839,2021-06-30,,
1915,국제전해수사업단,전해수,생물 살균.살충제 및 식물보호제 제조업,인천광역시 서구 석남로 124 (석남동) 2층,070-8245-9671,070-4850-8275,2021-06-30,,
1916,국제정밀,실린더 라이너,자동차 엔진용 신품 부품 제조업,인천광역시 서구 봉화로108번길 24-20 (오류동),032-565-7078,032-565-8293,2021-06-30,,
1917,굿소프트,모바일응용소프트웨어,응용 소프트웨어 개발 및 공급업,"인천광역시 서구 보듬로 158, 검단지식산업센터 블루텍 공존 716호 (오류동)",,,2021-06-30,,
1918,권정희,부동산임대,기타 부동산 임대업,"인천광역시 서구, 103호 (가좌동)",032-263-9448,,2021-06-30,,
1919,그린내장건설(주),전자부품 ASSY,그 외 기타 전자부품 제조업 외 1 종,인천광역시 서구 마중로 177 (오류동),02-848-5923,02-848-8006,2021-06-30,,
1920,그린냉동공조(주),"냉각기, 항온항습기, 자동제어장치",산업용 냉장 및 냉동 장비 제조업 외 2 종,인천광역시 서구 검단로326번길 35-72 (왕길동),032-822-1511,032-822-1514,2021-06-30,,
1921,그린비코스메틱,화장품,화장품 제조업,"인천광역시 서구 가좌로29번길 22, 인천뷰티코스메틱 지식산업센터 B103호, 501호, 601호, 701호 (가좌동)",032-821-3462,032-821-3464,2021-06-30,,
1922,그린정비공업(주),기계장비,건설 및 채광용 기계장비 제조업,인천광역시 서구 드림로 148 (왕길동),032-565-8811,032-565-8818,2021-06-30,,
1923,그린코리아,"태양광 보안등,가로등,조명기기 등",일반용 전기 조명장치 제조업 외 7 종,인천광역시 서구 대곡로276번길 58 (대곡동),032-562-8804,032-562-8904,2021-06-30,,
1924,그린페이퍼,복사용지,문구용 종이제품 제조업,"인천광역시 서구 보듬로 158, 1층 검단지식산업센터 블루텍 104호 (오류동) 외 2필지",032-220-5551,032-220-5554,2021-06-30,,
1925,그린페이퍼,"화장지, 점모롤",위생용 종이제품 제조업,"인천광역시 서구 보듬로 158, 1층 검단지식산업센터 블루텍 103호 (오류동)",,032-220-5554,2021-06-30,,
1926,극동유화(주),"프로판가스, 부탄가스",기체연료 및 관련제품 도매업 외 1 종,인천광역시 서구 가정로 13 (가좌동),032-576-2131,032-575-5060,2021-06-30,,
1927,극동전자정밀(주),커넥터 및 케이블 조립체 외,"전기회로 개폐, 보호장치 제조업 외 16 종",인천광역시 서구 중봉대로376번길 17 (원창동),032-582-0071,032-582-0076,2021-06-30,,
1928,극동전자정밀(주) 제2공장,"커넥터,케이블류, 탐조등",기타 절연선 및 케이블 제조업 외 7 종,인천광역시 서구 중봉대로376번길 5 (원창동) 외 1필지,032-582-0071,032-582-0076,2021-06-30,,
1929,극동특수인물,칼날,비동력식 수공구 제조업,"인천광역시 서구 건지로284번길 117,나동 102,103호 (가좌동)",032-581-5441,032-581-5443,2021-06-30,,
1930,극동화스너 검단,"금형, 볼트가공기",주형 및 금형 제조업 외 2 종,인천광역시 서구 보듬로 151 (오류동),032-583-2388,032-818-2385,2021-06-30,,
1931,근영금속산업(주),동각재벤딩,절삭가공 및 유사처리업,인천광역시 서구 보도진로30번길 15 (가좌동),326721483,326721485,2021-06-30,,
1932,글로리텍,아파트베란다 및 창문 안전 잠금장치,일반철물 제조업,인천광역시 서구 건지로97번길 33-19 (석남동),032-582-0674,032-582-3358,2021-06-30,,
1933,금강,반도체장비 부품외,절삭가공 및 유사처리업,인천광역시 서구 보도진로 100-11 (가좌동),032-576-6931,032-577-4599,2021-06-30,,
1934,금강금속,기계부품,도금업,"인천광역시 서구 중봉대로240번길 24, 102호 (석남동)",032-575-5024,032-579-5024,2021-06-30,,
1935,금강레미콘(주),레미콘,비주거용 건물 임대업 외 1 종,인천광역시 서구 오류동 0번지 검단일반산업단지 46-2 외 1필지 외 1필지,032-578-9900,032-583-4437,2021-06-30,,
1936,금강레미콘(주)(검단1지점),"아스콘, 골재",아스팔트 콘크리트 및 혼합제품 제조업 외 1 종,인천광역시 서구 오류동 0번지 검단일반산업단지 26-3,032-578-9900,032-583-4437,2021-06-30,,
1937,금강아스콘(주),아스콘,비주거용 건물 임대업 외 2 종,인천광역시 서구 오류동 0 검단일반산업단지 26-4,032-583-5660,032-576-3355,2021-06-30,,
1938,금강안전시스템,산업안전제품(계단 및 코너 보호대),그 외 기타 달리 분류되지 않은 제품 제조업 외 2 종,인천광역시 서구 석남로 42 (석남동),032-573-3050,032-573-3051,2021-06-30,,
1939,금강에이치에스(주),아스콘,비주거용 건물 임대업 외 1 종,인천광역시 서구 도담6로 17 (오류동),032-583-5660,032-576-3355,2021-06-30,,
1940,금강이엔지,산업기계,그 외 기타 일반목적용 기계 제조업,인천광역시 서구 원전로12번길 7 (경서동),032-673-6008,032-676-8555,2021-06-30,,
1941,금강정밀,프레스가공,주형 및 금형 제조업,"인천광역시 서구 도담로 42, 8동 (오류동)",032-811-2140,032-811-0140,2021-06-30,,
1942,금강탱크터미널(주),화학제품,그 외 기타 분류 안된 화학제품 제조업 외 1 종,"인천광역시 서구 가정로37번길 17 (가좌동, 금강탱크터미널(주))",032-574-1989,032-571-3321,2021-06-30,,
1943,금강테크,시료가공 및 지그 제작,금속 절삭기계 제조업,"인천광역시 서구 가좌로29번길 14, 1층 103호 (가좌동) 주안 BT센터 103호",032-777-7535,032-777-7536,2021-06-30,,
1944,금강테크,반도체부품,그 외 기타 금속가공업,"인천광역시 서구 보듬로 158, 2층 검단지식산업센터 블루텍 243호 (오류동)",032-666-7277,,2021-06-30,,
1945,금강파이프,"자동차용부품 가공, 일반파이프 가공",자동차용 금속 압형제품 제조업 외 1 종,인천광역시 서구 가재울로 112 (가좌동),032-581-2151,032-581-5155,2021-06-30,,
1946,금강펌프,공장임대,비주거용 건물 임대업,인천광역시 서구 보듬로 158 (오류동) 블루텍 1동 1층 125호,,,2021-06-30,,
1947,금단,공장임대,비주거용 건물 임대업,인천광역시 서구 마중4로 29 (오류동),032-431-9871,032-431-9872,2021-06-30,,
1948,금륜E.N.G,압출성형기,금속탱크 및 저장용기 제조업 외 9 종,인천광역시 서구 사월로28번길 8 (왕길동),032-565-0014,050-5116-0410,2021-06-30,,
1949,금방산업(주),주물,선철주물 주조업,인천광역시 서구 호두산로 120 (경서동),032-561-4383,032-561-1177,2021-06-30,,
1950,금별사회서비스주식회사,"조명등기구,분전반",일반용 전기 조명장치 제조업 외 1 종,인천광역시 서구 원창로89번길 41-1 (원창동),032-574-5256,032-574-5258,2021-06-30,,
1951,금산전자,인쇄회로기판,도금업,인천광역시 서구 중봉대로198번길 33 (가좌동),032-579-2087,032-579-2088,2021-06-30,,
1952,금성기전,각종철판케이스,금속 캔 및 기타 포장용기 제조업,인천광역시 서구 두루물로8번길 42 (오류동),032-568-0270,032-568-0272,2021-06-30,,
1953,금성도금,후크,도금업 외 1 종,"인천광역시 서구 가람로 14, 7층 인천표면처리센터 코아텍 721호 (오류동)",,,2021-06-30,,
1954,금성목재(주),목재,일반 제재업,인천광역시 서구 오류동 0 번지 검단일반산업단지 9-3,032-568-3811,032-568-3813,2021-06-30,,
1955,금성산업,교구,주방용 및 음식점용 목재가구 제조업 외 1 종,인천광역시 서구 봉수대로161번길 22 (가좌동),032-772-8373,032-764-8373,2021-06-30,,
1956,금영테크,주형,주형 및 금형 제조업,인천광역시 서구 두루물로8번길 38 (오류동),070-7763-4321,032-577-6389,2021-06-30,,
1957,금오산업,프라스틱부품,운송장비 조립용 플라스틱제품 제조업 외 1 종,인천광역시 서구 거북로46번길 8 (석남동),032-579-1836,032-579-1837,2021-06-30,,
1958,금이산업,"구조용 금속판제품 및 금속공작물, 금속조립구조재",구조용 금속 판제품 및 공작물 제조업,인천광역시 서구 오류동 0 번지 검단일반산업단지 10-21,11664690,02-334-1265,2021-06-30,,
1959,금인테크,금속선반,절삭가공 및 유사처리업,인천광역시 서구 도담2로 6 (오류동),,,2021-06-30,,
1960,금정이앤시㈜,정수장치,액체 여과기 제조업,"인천광역시 서구 사월로37번길 6, 가동 (왕길동)",032-541-5077,032-548-5195,2021-06-30,,
1961,금평기계,"금속가공품, 전기온풍기",절삭가공 및 유사처리업,인천광역시 서구 봉수대로 1526 (금곡동),032-564-2994,032-564-2995,2021-06-30,,
1962,금호금속,피스볼트,도금업 외 1 종,"인천광역시 서구 가람로 14, 3층 인천표면처리센터 코아텍 329호 (오류동) 외 1필지",032-577-8009,032-577-8011,2021-06-30,,
1963,금호종합열처리,금속열처리,금속 열처리업,"인천광역시 서구 호두산로 62 (경서동, D동) 외 1필지",032-562-0337,032-562-2683,2021-06-30,,
1964,기가트론(주),인쇄회로기판제조,경성 인쇄회로기판 제조업,"인천광역시 서구 건지로95번길 33 (석남동, 기가트론(주))",032-583-6235,032-583-6230,2021-06-30,,
1965,기강전자,인쇄회로기판,경성 인쇄회로기판 제조업,"인천광역시 서구 중봉대로306번길 14 (석남동, A동)",032-573-3089,032-579-0532,2021-06-30,,
1966,기연테크,스티로폴 제조기계,기타 가공 공작기계 제조업,"인천광역시 서구 마중로 166, 검단일반산업단지내 35-5 (오류동)",032-568-3310,032-568-3320,2021-06-30,,
1967,기주산업(주),전자부품,그 외 기타 전자부품 제조업 외 1 종,인천광역시 서구 중봉대로 300-12 (석남동),032-578-8130,032-579-3436,2021-06-30,,
1968,김계향,부동산임대업,기타 부동산 임대업,인천광역시 서구 장고개로 127 (가좌동),053-585-0287,,2021-06-30,,
1969,김용만,공장임대,비주거용 건물 임대업,인천광역시 서구 보듬8로 5 (오류동),032-582-0402,032-583-5542,2021-06-30,,
1970,김은영,부동산임대업,기타 부동산 임대업,"인천광역시 서구 장고개로 127, 101호 (가좌동)",02-2655-0970,,2021-06-30,,
1971,까멜리아,화장비누,"치약, 비누 및 기타 세제 제조업",인천광역시 서구 백범로 681 (가좌동) 스마트테크노타워 가동 4층 405호,,032-2659-9956,2021-06-30,,
1972,나노웨이브테크놀로지,통신용기기,그 외 기타 전자부품 제조업,"인천광역시 서구 가정로47번길 4, B동 3층 301 (가좌동)",032-429-2300,032-429-2351,2021-06-30,,
1973,나라축산,"돈육, 우육, 한우 및 수입육의 포장육",육류 포장육 및 냉동육 가공업 (가금류 제외),인천광역시 서구 원창로 79-1 (원창동) 1층,032-572-2170,032-573-2170,2021-06-30,,
1974,나래인다코리아,방송용 스피커,기타 음향기기 제조업,"인천광역시 서구 보듬로 158, 2층 검단지식산업센터 블루텍 209호 (오류동)",032-220-5290,032-220-5291,2021-06-30,,
1975,나비야화장품,마스크팩,화장품 제조업,"인천광역시 서구 보듬로 158, 5층 검단지식산업센터 블루텍 510호 (오류동)",,,2021-06-30,,
1976,나우시스템,기계전자부품,그 외 기타 전자부품 제조업 외 1 종,"인천광역시 서구 장고개로168번길 46 (가좌동, B동)",032-575-7021,032-575-7022,2021-06-30,,
1977,나인종합주방,주방기구,금속 위생용품 제조업,인천광역시 서구 검단천로356번길 22 (오류동),032-679-5860,032-673-5886,2021-06-30,,
1978,낙연레이져,철판가공품,절삭가공 및 유사처리업,인천광역시 서구 건지로 63 (석남동),032-572-2104,032-588-2103,2021-06-30,,
1979,남부기공,열교환기 가공,절삭가공 및 유사처리업,인천광역시 서구 호두산로58번길 56-1 (경서동),032-519-6445,032-565-6445,2021-06-30,,
1980,남부씨스템,CAD 소프트웨어개발,응용 소프트웨어 개발 및 공급업,"인천광역시 서구 보듬로 158, 9층 검단지식산업센터 블루텍 922호 (오류동)",,,2021-06-30,,
1981,남산중기공업사,중고중장비,건설 및 채광용 기계장비 제조업,인천광역시 서구 봉수대로1568번길 42-4 (금곡동),032-677-6700,032-563-0059,2021-06-30,,
1982,남선금속,"농기계, 자동차,송풍기부품",알루미늄주물 주조업,인천광역시 서구 중봉대로386번길 5 (원창동),032-579-0211,032-579-0212,2021-06-30,,
1983,남양목재,"각재,판재(건축자재)",일반 제재업,"인천광역시 서구 보도진로41번길 28 (가좌동, 남양목재) (총 2 필지)",032-571-8242,032-572-8243,2021-06-30,,
1984,남원철강(주),철판가공,금속 단조제품 제조업 외 2 종,"인천광역시 서구 장고개로168번길 54 (가좌동, 1동)",032-576-6631,32,2021-06-30,,
1985,남해산업,IGNITION CABLE,육상 금속 골조 구조재 제조업 외 1 종,인천광역시 서구 오류동 0 번지 검단일반산업단지 10-15,032-566-2971,032-563-9421,2021-06-30,,
1986,내셔널라이팅(주),LED 조명기구,일반용 전기 조명장치 제조업,"인천광역시 서구 보듬로 158, 7층 검단지식산업센터 블루텍 736호 (오류동) 외 2필지",032-681-0078,032-681-0067,2021-06-30,,
1987,내일엔지니어링(주),유리가공기계,그 외 기타 특수목적용 기계 제조업 외 1 종,인천광역시 서구 로봇랜드로249번길 46-9 (청라동),032-676-4210,032-676-4211,2021-06-30,,
1988,넓은들,플라스틱관 연결구 등,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",인천광역시 서구 원적로57번길 23 (가좌동),032-506-1905,032-506-1904,2021-06-30,,
1989,네오스코스머슈티컬(주),미생물 천연발효음료,건강기능식품 제조업,"인천광역시 서구 보듬로 158, 6층 검단지식산업센터 블루텍 611호 (오류동)",,,2021-06-30,,
1990,네오코,"부화기,오븐기,절단절곡품",금속 캔 및 기타 포장용기 제조업 외 6 종,인천광역시 서구 북항로193번길 44 (원창동),032-572-4111,032-572-1110,2021-06-30,,
1991,네이처뮤지엄,조립식 완구,인형 및 장난감 제조업,인천광역시 서구 가정로37번길 37-5 (가좌동) 서일정공,02-6956-6331,070-4693-6101,2021-06-30,,
1992,노바쎄미 제2공장,반도체제품 시험검사,"기타 기술 시험, 검사 및 분석업","인천광역시 서구 가좌로29번길 14, 주안 뷰티&테크노센터 201호 (가좌동)",032-576-1355,032-576-1356,2021-06-30,,
1993,노아산업(주),각재,일반 제재업,"인천광역시 서구 가정로67번길 11, 2 (가좌동)",32574415,032-574-2230,2021-06-30,,
1994,노크시스템,가전기기용 CONTROLLER,배전반 및 전기 자동제어반 제조업,인천광역시 서구 가좌로 31 (가좌동),070-4193-4191,032-571-3114,2021-06-30,,
1995,놀이방공장,트램펄린 및 부자재 놀이시설 일체,놀이터용 장비 제조업,"인천광역시 서구 중봉대로198번길 25, 가동 102호 (가좌동)",032-577-3354,032-577-3357,2021-06-30,,
1996,농부마을,곡물크래커,과자류 및 코코아 제품 제조업,인천광역시 서구 검단로 119 (오류동),032-568-1240,032-568-1241,2021-06-30,,
1997,농업회사법인 (주)신광에코팜,과채가공품,기타 과실ㆍ채소 가공 및 저장 처리업,,032-431-8125,,2021-06-30,,
1998,농업회사법인 (주)신광에코팜,"냉장,과채가공품",기타 과실ㆍ채소 가공 및 저장 처리업,,032-431-8125,032-434-8125,2021-06-30,,
1999,농업회사법인 (주)제직증명 인천공장,포장육,육류 포장육 및 냉동육 가공업 (가금류 제외),"인천광역시 서구 정서진8로 5, 4동 401호 (오류동)",032-568-4440,032-568-4443,2021-06-30,,
2000,농업회사법인 고원김치(주),"김치,절임배추",김치류 제조업 외 1 종,"인천광역시 서구 보도진로 16, A동1~2층,B동 전체 (가좌동)",032-583-1722,032-581-1722,2021-06-30,,
2001,농업회사법인 대부 주식회사 인천공장,"축산물포장육, 양념육, 가공육",육류 포장육 및 냉동육 가공업 (가금류 제외) 외 1 종,인천광역시 서구 소담2로 54 (금곡동),032-561-2500,032-561-2501,2021-06-30,,
2002,농업회사법인 새싹 주식회사,"참깨,참기름",식물성 유지 제조업,인천광역시 서구 세자봉로 146-1 (마전동),032-568-4584,032-568-5731,2021-06-30,,
2003,농업회사법인 씨엔테크주식회사,무인방제기,농업 및 임업용 기계 제조업,"인천광역시 서구 가정로87번길 22, 3층 (가좌동)",032-572-4721,032-572-4722,2021-06-30,,
2004,농업회사법인 아라한미트(주),"돈육,우육가공품",육류 기타 가공 및 저장처리업 (가금류 제외),인천광역시 서구 금곡동 0번지 I-Food Park 6블럭 6로트,032-582-8985,032-582-8986,2021-06-30,,
2005,농업회사법인 엠케이팜스(주),식육 가공,육류 포장육 및 냉동육 가공업 (가금류 제외),"인천광역시 서구 백범로 681, 스마트테크노타워 313호 (가좌동)",032-582-3340,032-560-0655,2021-06-30,,
2006,농업회사법인 유한회사 별미식품,김치류,김치류 제조업 외 1 종,인천광역시 서구 원적로17번길 18 (가좌동),032-584-1317,032-584-1319,2021-06-30,,
2007,농업회사법인 제이푸드월드(주),과채가공품,기타 과실ㆍ채소 가공 및 저장 처리업,,031-767-8214,,2021-06-30,,
2008,농업회사법인 주식회사 거해,구운김,수산식물 가공 및 저장 처리업,인천광역시 서구 옹주물로 220 (불로동),032-561-9025,032-561-9026,2021-06-30,,
2009,농업회사법인 주식회사 대경푸드빌,"대창, 막창, 곱창",육류 기타 가공 및 저장처리업 (가금류 제외),인천광역시 서구 금곡동 1번지 I-Food Park 4가구 2획지,032-575-5143,032-576-5143,2021-06-30,,
2010,농업회사법인 주식회사 해오름식품,김치,김치류 제조업 외 1 종,인천광역시 서구 보도진로54번길 11-17 (가좌동),032-571-0073,032-571-0440,2021-06-30,,
2011,농업회사법인(주)크린팜,국내산 돈육,육류 포장육 및 냉동육 가공업 (가금류 제외),인천광역시 서구 가좌로95번길 52 (가좌동),032-428-3334,032-428-3336,2021-06-30,,
2012,누리옵틱스,블랙박스용 렌즈,광학렌즈 및 광학요소 제조업,"인천광역시 서구 보듬로 158, 5층 검단지식산업센터 블루텍 519호 (오류동)",,,2021-06-30,,
2013,누리이앤씨(주),"신축이음장치, 교좌장치",육상 금속 골조 구조재 제조업 외 2 종,"인천광역시 서구 백범로934번길 11, 가동, 4층 (가좌동)",031-214-2503,031-214-2501,2021-06-30,,
2014,누리테크,CNC밀링,금속 절삭기계 제조업,인천광역시 서구 가정로8번길 18 (가좌동),,,2021-06-30,,
2015,뉴고성,"RoU제작, 도금",도금업,인천광역시 서구 도담2로 12 (오류동),032-814-4041,031-982-2819,2021-06-30,,
2016,뉴맨테크,업소용가스렌지,가정용 비전기식 조리 및 난방 기구 제조업,"인천광역시 서구 봉수대로 141, 6층 602호 (가좌동, 현광아파트형공장)",032-582-0521,032-582-0522,2021-06-30,,
2017,뉴엠테크㈜,"FMB, 고무부품",고무패킹류 제조업 외 1 종,인천광역시 서구 뱃길1로 48 (오류동),032-574-7992,032-574-7990,2021-06-30,,
2018,뉴테크,절삭공구,기타 가공 공작기계 제조업,"인천광역시 서구 가정로57번길 9, 2동 (가좌동)",032-684-7845,032-677-2190,2021-06-30,,
2019,뉴테크,배관 spool,그 외 기타 금속가공업,"인천광역시 서구 가좌로29번길 14, 가좌동 539-16, 주안 뷰티&테크노센터 401호 (가좌동)",032-581-8940,031-351-7531,2021-06-30,,
2020,뉴트론테크,"전기,전자영상부품",유선 통신장비 제조업 외 1 종,인천광역시 서구 보듬로 158 (오류동) 1동 8층 806호,,070-4120-0330,2021-06-30,,
2021,뉴팩코퍼레이션 유한회사,연포장재,기타 인쇄업 외 1 종,"인천광역시 서구 원전로 36 (경서동, A동)",032-569-7772,032-569-7773,2021-06-30,,
2022,늘벗,부동산 임대업,비주거용 건물 임대업,"인천광역시 서구 백범로 681, 스마트테크노타워 B01호 (가좌동)",,032-583-8102,2021-06-30,,
2023,다나특장,특장차,차체 및 특장차 제조업,인천광역시 서구 사월로 18-1 (왕길동),032-552-8794,032-552-8798,2021-06-30,,
2024,다로스(주),"수전금구완제품(샤워기, 욕조수전완제품)",금속 위생용품 제조업,인천광역시 서구 도담로 43 (오류동),070-7780-3842,032-568-9816,2021-06-30,,
2025,다부산업,도금,도금업 외 1 종,"인천광역시 서구 가람로 14, 지식산업센터 415호 (오류동)",032-819-1158,032-821-8803,2021-06-30,,
2026,다산스폰지,스폰지,그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종,인천광역시 서구 원전로12번길 7 (경서동),032-874-1390,032-874-1391,2021-06-30,,
2027,다원레이져,프레임(구조물),육상 금속 골조 구조재 제조업 외 1 종,인천광역시 서구 봉수대로 1503-6 (금곡동),032-561-6910,032-561-6911,2021-06-30,,
2028,다원몬테소리교구,교육용완구류,"체조, 육상 및 체력단련용 장비 제조업 외 4 종",인천광역시 서구 검단로188번길 5-4 (오류동) 외 2필지,032-564-0633,032-561-0633,2021-06-30,,
2029,다원엔지니어링,"컨베이어류, 물류장비, 필름제작기계",컨베이어장치 제조업 외 4 종,"인천광역시 서구 원전로 64 (경서동, (주)제흥)",070-8877-5568,032-674-9589,2021-06-30,,
2030,다이조아,LED 조명기구,일반용 전기 조명장치 제조업,"인천광역시 서구 보듬로 158, 9층 검단지식산업센터 블루텍 907호 (오류동)",,02-6944-9499,2021-06-30,,
2031,다인tech,공장임대,비주거용 건물 임대업,"인천광역시 서구 가람로 14, 5층 인천표면처리센터 코아텍 511호 (오류동)",,,2021-06-30,,
2032,닥트마스타,덕트통,구조용 금속 판제품 및 공작물 제조업,"인천광역시 서구 가좌로29번길 14, 가좌동 539-16, 주안 뷰티&테크노센터 408호 (가좌동)",032-575-1664,032-575-5904,2021-06-30,,
2033,단경하이테크,악세사리 등,도금업 외 1 종,"인천광역시 서구 가람로 14, 2층 지식산업센터 205호 (오류동)",032-573-1432,032-571-2961,2021-06-30,,
2034,달라와달라,프로그래밍,응용 소프트웨어 개발 및 공급업,"인천광역시 서구 보듬로 158, 11층 검단지식산업센터 블루텍 1103호 (오류동)",,,2021-06-30,,
2035,달리다굼포장,골판지상자,골판지 상자 및 가공제품 제조업,"인천광역시 서구 사월로 19-9 (왕길동, 공장)",032-562-0425,032-562-0427,2021-06-30,,
2036,달테크(주),행거부품,도금업 외 1 종,인천광역시 서구 가람로 14 (오류동) 인천표면처리센터 요진코아텍 1동 2층 225호,,032-821-8221,2021-06-30,,
2037,대건기업,기타조립금속제조업,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,인천광역시 서구 장고개로117번길 24-6 (가좌동),,032-575-0542,2021-06-30,,
2038,대건녹화건설(주),그레이팅 덮개,기타 건축용 플라스틱 조립제품 제조업,"인천광역시 서구 백범로 681, 스마트테크노타워 608호 (가좌동)",02-2651-3707,02-2651-3703,2021-06-30,,
2039,대건스틸(주),금속절단품,그 외 기타 금속가공업,인천광역시 서구 보듬로 121 (오류동),032-569-1222,032-569-1225,2021-06-30,,
2040,대경기연,교반기,그 외 기타 특수목적용 기계 제조업 외 1 종,"인천광역시 서구 보도진로30번길 24 (가좌동, 대경)",032-679-2751,032-679-2753,2021-06-30,,
2041,대경볼트(주),볼트류,볼트 및 너트류 제조업,인천광역시 서구 마중로 72 (오류동),02-2689-9058,02-2689-9060,2021-06-30,,
2042,대경프랜트,압력용기,금속탱크 및 저장용기 제조업 외 1 종,인천광역시 서구 봉수대로1581번길 27 (금곡동),032-563-8090,032-563-8092,2021-06-30,,
2043,대경하이테크,생활용품,그 외 기타 플라스틱 제품 제조업,"인천광역시 서구 가좌로29번길 42 (가좌동, 가가(주))",032-576-6101,032-576-6101,2021-06-30,,
2044,대경하이테크,"계면활성제, 공업용비누",계면활성제 제조업,인천광역시 서구 도담4로 11(오류동) 외 1필지,032-563-3323,032-563-3753,2021-06-30,,
2045,대광,철재선반,그 외 기타 금속가공업,"인천광역시 서구 가람로 14, 1동 8층 815호(오류동, 인천표면처리센터 요진코아텍)",,,2021-06-30,,
2046,대광계전,포장기계제작,"용기 세척, 포장 및 충전기 제조업","인천광역시 서구 도담로 42, 3동 (오류동)",032-561-1763,032-561-1764,2021-06-30,,
2047,대광금형,화장품용기(금속),금속 캔 및 기타 포장용기 제조업,인천광역시 서구 석남동 223-814번지,032-873-3294,032-872-3281,2021-06-30,,
2048,대광기업사,도금제품,도금업,"인천광역시 서구 백범로934번길 38-10,A동 1층일부(1호) (가좌동)",032-576-3968,032-576-3967,2021-06-30,,
2049,대광기전(주),특수목적자동화기계,그 외 기타 특수목적용 기계 제조업 외 1 종,인천광역시 서구 건지로250번길 97 (가좌동),032-577-2900,032-577-2909,2021-06-30,,
2050,대광목형,목형,표면 가공 목재 및 특정 목적용 제재목 제조업,"인천광역시 서구 봉수대로 141,202호 (가좌동)",032-578-0160,032-578-0161,2021-06-30,,
2051,대광산업,인쇄코팅지,"적층, 합성 및 특수표면처리 종이 제조업",인천광역시 서구 두루물로8번길 40 (오류동),032-564-6340,032-564-6343,2021-06-30,,
2052,대광산업,"도장부스,등기구",육상 금속 골조 구조재 제조업 외 4 종,"인천광역시 서구 사렴로9번길 11 (경서동, 1동)",032-568-8898,032-568-8897,2021-06-30,,
2053,대광산업주식회사,"샷시,금속가공 제작설치","금속 문, 창, 셔터 및 관련제품 제조업 외 1 종",인천광역시 서구 방축로 388 (가좌동),032-875-3045,032-864-8710,2021-06-30,,
2054,대광섬유,양말,스타킹 및 기타 양말 제조업,"인천광역시 서구 봉수대로 141, a동 4층 404호 (가좌동, 현광아파트형공장)",032-575-8882,032-576-8885,2021-06-30,,
2055,대광엔지니어링,소프트웨어개발,비주거용 건물 임대업 외 1 종,"인천광역시 서구 보듬로 158, 1층 검단지식산업센터 블루텍 104호 (오류동) 외 2필지",032-562-2664,032-568-2665,2021-06-30,,
2056,대광이앤이(주),"승강기부품(머신베드, 상하부, 옆체대 외)",승강기 제조업,인천광역시 서구 오류동 0 번지 검단일반산업단지 8-5,032-563-1199,032-563-2009,2021-06-30,,
2057,대광철강,철강부품,그 외 기타 금속가공업,인천광역시 서구 북항로193번길 123 (원창동) 외 1필지,032-342-5072,032-342-4585,2021-06-30,,
2058,대광특수금속(주),"목재기계,산업기계,주장품",강주물 주조업,"인천광역시 서구 중봉대로286번길 19 (석남동, A동)",032-578-3939,032-572-3939,2021-06-30,,
2059,대덕아이엠티,플레이트,자동차 차체용 신품 부품 제조업,인천광역시 서구 한서로 60 (백석동),032-565-2390,032-565-2399,2021-06-30,,
2060,대덕전열,산업용 히터,"산업용 오븐, 노 및 노용 버너 제조업",인천광역시 서구 건지로 74-3 (가좌동),032-576-6553,032-574-6559,2021-06-30,,
2061,대도상사,"중자, 클램프",그 외 기타 분류 안된 비금속 광물제품 제조업 외 5 종,인천광역시 서구 사렴로 22 (경서동),032-564-6115,032-561-7662,2021-06-30,,
2062,대동금속공예,청동조형물,동주물 주조업 외 2 종,인천광역시 서구 마중2로 27 (오류동),032-568-2528,032-563-2528,2021-06-30,,
